Compound_Name,CAS_Number,SMILES,Predicted_pT,Predicted_ODT_mg_L
Allyl tiglate,7493-71-2,CC=C(C)C(=O)OCC=C,6.00,0.00099040
"2-Methyl-1,3-dithiolane",5616-51-3,CC1SCCS1,6.03,0.00093862
Isopropyl 3-methylbutanoate,32665-23-9,CC(C)CC(=O)OC(C)C,6.04,0.00090966
"Dihydro-6-isopropyl-2,4-dimethyl-1,3,5(4H)-dithiazine",104691-41-0,CC1NC(SC(S1)C)C(C)C,6.06,0.00087611
"Dihydro-2-isopropyl-4,6-dimethyl-1,3,5(4H)-dithiazine",104691-40-9,CC1NC(SC(S1)C(C)C)C,6.07,0.00085378
3-(Methylthio)heptanal,51755-70-5,CCCCC(CC=O)SC,6.07,0.00084400
4-Mercapto-3-methyl-2-butanol,33959-27-2,CC(CS)C(C)O,6.08,0.00083203
S-(2-Methyl-3-furyl) Ethanethioate,55764-25-5,CC1=C(C=CO1)SC(=O)C,6.08,0.00082660
5-Ethyl-2-methylthiazole,19961-52-5,CCC1=CN=C(S1)C,6.09,0.00080749
Heptyl formate,112-23-2,CCCCCCCOC=O,6.11,0.00077422
2-Ethoxy-5-methylpyrazine,67845-34-5,CCOC1=NC=C(N=C1)C,6.12,0.00076113
4-Butyl-2-thiophenecarbaldehyde,163461-01-6,CCCCC1=CSC(=C1)C=O,6.12,0.00075960
4-Methyl-2-(methylthiomethyl)-2-pentenal,40878-73-7,CC(C)C=C(CSC)C=O,6.12,0.00075192
2-(Methylthiomethyl)-2-butenal,40878-72-6,CC=C(CSC)C=O,6.13,0.00074383
1-Hexanethiol,111-31-9,CCCCCCS,6.13,0.00073970
Butyl 2-methylpropanoate,97-87-0,CCCCOC(=O)C(C)C,6.14,0.00072090
2-Hexylthiophene,18794-77-9,CCCCCCC1=CC=CS1,6.15,0.00071035
Methyl 3-nonenoate,13481-87-3,CCCCCC=CCC(=O)OC,6.15,0.00070205
Propyl 3-methylbutanoate,557-00-6,CCCOC(=O)CC(C)C,6.16,0.00069950
4-Mercapto-2-pentanone,92585-08-5,CC(CC(=O)C)S,6.18,0.00065696
"1,5-Octadien-3-one",65213-86-7,CCC=CCC(=O)C=C,6.18,0.00065549
8-Nonen-2-one,5009-32-5,CC(=O)CCCCCC=C,6.19,0.00063834
(E)-5-Dodecenal,68820-34-8,CCCCCCC=CCCCC=O,6.20,0.00063249
