Compound_name,CAS_number,Canonical_SMILES,n_original_records,ODT_min_mg_L,ODT_max_mg_L,log10_ODT_SD,ODT_geometric_mean_mg_L,Final_pT,Structure_type,Chemical_class
Hydrogen cyanide,74-90-8,C#N,5,2,15,0.37903444331222,3.28,2.48412615628832,Aliphatic,Nitrogen-containing
Tetrachloroethene,127-18-4,C(=C(Cl)Cl)(Cl)Cl,2,0.24,0.3,0.0685257273628732,0.27,3.56863623584101,Aliphatic,Hydrocarbon
Trichloroethene,79-01-6,C(=C(Cl)Cl)Cl,2,0.5,0.56,0.0348023975866787,0.53,3.27572413039921,Aliphatic,Hydrocarbon
"1,1-Dichloroethene",156-60-5,C(=CCl)Cl,1,1.6,1.6,NA,1.6,2.79588001734407,Aliphatic,Hydrocarbon
Tribromomethane,75-25-2,C(Br)(Br)Br,5,0.001,0.005,0.248544260981376,0.0021,5.67778070526608,Aliphatic,Hydrocarbon
Dibromoiodomethane,593-94-2,C(Br)(Br)I,1,0.00465,0.00465,NA,0.00465,5.33254704711005,Aliphatic,Hydrocarbon
Bromodiiodomethane,557-95-9,C(Br)(I)I,1,0.00015,0.00015,NA,0.00015,6.82390874094432,Aliphatic,Hydrocarbon
"1,2-Dichlorooxoethane",79-04-9,C(C(=O)Cl)Cl,1,25,25,NA,25,1.60205999132796,Aliphatic,Acid
Hexachloroethane,67-72-1,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,5,0.01,0.03,0.222013443455569,0.021,4.67778070526608,Aliphatic,Hydrocarbon
"1,5-Pentanedial",111-30-8,C(CC=O)CC=O,1,100,100,NA,100,1,Aliphatic,Aldehyde
"1,2-Dichloroethane",107-06-2,C(CCl)Cl,2,29,29,NA,29,1.53760200210104,Aliphatic,Hydrocarbon
"1,5-Pentanediamine",462-94-2,C(CCN)CCN,2,20,190,0.691354991425904,61.64,1.21013736995362,Aliphatic,Nitrogen-containing
"1,4-Butanediamine",110-60-1,C(CCN)CN,2,20,22,0.0292690483669006,20.98,1.67819451614246,Aliphatic,Nitrogen-containing
"N-(3-Aminopropyl)-1,4-butanediamine",124-20-9,C(CCNCCCN)CN,1,129,129,NA,129,0.889410289700751,Aliphatic,Nitrogen-containing
