Compound_name,CAS_number,Canonical_SMILES,Chemical_class,Predicted_pT,Predicted_ODT_mg_L
,,,,,
2-Isobutyl-3-methoxypyrazine,24683-00-9,C(C)(C)CC1=NC=CN=C1OC,Pyrazine,8.21940898895264,6.03380158281652e-6
2-(sec-Butyl)-3-methoxypyrazine,24168-70-5,C(C)(CC)C1=NC=CN=C1OC,Pyrazine,7.983962059021,1.03761904028943e-5
Methyl cyclohexanecarboxylate,4630-82-4,COC(=O)C1CCCCC1,Esters,7.94515943527222,1.13459418571438e-5
(E)-4-Nonenal,2277-16-9,CCCCC=CCCC=O,Aldehydes,7.93286418914795,1.16717455966864e-5
Allyl methyl trisulfide,34135-85-8,CSSSCC=C,Sulfur compounds,7.89687538146973,1.26801569422241e-5
(S)-1-Methoxy-3-heptanethiol,400052-49-5,CCCCC(CCOC)S,Sulfur compounds,7.73140668869019,1.85606550076045e-5
Allyl methyl disulfide,2179-58-0,CSSCC=C,Sulfur compounds,7.63135004043579,2.33695282076951e-5
3-Mercapto-3-methylbutyl acetate,50746-09-3,CC(=O)OCCC(C)(C)S,Sulfur compounds,7.56493997573853,2.72307770501357e-5
5-Mercapto-5-methyl-3-hexanone,851768-51-9,CCC(=O)CC(C)(C)S,Sulfur compounds,7.54723358154297,2.83639310509898e-5
"(E,Z,Z)-2,4,7-Tridecatrienal",13552-96-0,CCCCCC=CCC=CC=CC=O,Aldehydes,7.4751672744751,3.34836440742947e-5
Ethyl propyl disulfide,30453-31-7,CCCSSCC,Sulfur compounds,7.33511638641357,4.62257121398579e-5
Methyl propyl disulfide,2179-60-4,CCCSSC,Sulfur compounds,7.31621170043945,4.82823379570618e-5
Allyl propyl disulfide,2179-59-1,CCCSSCC=C,Sulfur compounds,7.29972982406616,5.01499125675764e-5
Ethyl methyl trisulfide,31499-71-5,CCSSSC,Sulfur compounds,7.29240942001343,5.10023965034634e-5
2-Methyl-3-tetrahydrofuranthiol,57124-87-5,CC1C(CCO1)S,Sulfur compounds,7.25459241867065,5.56426202820148e-5
"(Z,Z)-4,7-Tridecadienal",13552-95-9,CCCCCC=CCC=CCCC=O,Aldehydes,7.2447624206543,5.69164221815299e-5
Butyl ethyl disulfide,63986-03-8,CCCCSSCC,Sulfur compounds,7.16103458404541,6.90184824634343e-5
Methyl pentyl disulfide,72437-68-4,CCCCCSSC,Sulfur compounds,7.16024446487427,6.91441673552617e-5
"2,5-Dimethyl-3-furanthiol",55764-23-3,CC1=CC(=C(O1)C)S,Sulfur compounds,7.14668941497803,7.1336304245051e-5
3-Mercaptoheptyl acetate,548774-80-7,CCCCC(CCOC(=O)C)S,Sulfur compounds,7.1325511932373,7.36968286219053e-5
Butyl propyl disulfide,72437-64-0,CCCCSSCCC,Sulfur compounds,7.02390766143799,9.46438376558945e-5
3-(Allyldithio)-2-butanone,1838169-65-5,CC(C(=O)C)SSCC=C,Sulfur compounds,7.02358961105347,9.4713170256e-5
(E)-4-Undecenal,68820-35-9,CCCCCCC=CCCC=O,Aldehydes,6.97290945053101,0.000106436491478235
"3,5-Undecadien-2-one",68973-20-6,CCCCCC=CC=CC(=O)C,Ketones,6.94561815261841,0.000113339643576182
Dipropyl disulfide,629-19-6,CCCSSCCC,Sulfur compounds,6.93647527694702,0.000115750990516972
Methyl 2-methylpentanoate,2177-77-7,CCCC(C)C(=O)OC,Esters,6.92783498764038,0.000118076917715371
"(E,Z)-2,6-Dodecadienal",21662-13-5,CCCCCC=CCCC=CC=O,Aldehydes,6.92435455322266,0.000119026990432758
Methyl propyl trisulfide,17619-36-2,CCCSSSC,Sulfur compounds,6.92181015014648,0.000119726377306506
1-(2-Thienyl)ethanethiol,94089-02-8,CC(C1=CC=CS1)S,Sulfur compounds,6.92176532745361,0.000119738739158492
"3-Methyl-1,2,4-trithiane",43040-01-3,CC1SCCSS1,Sulfur compounds,6.89582872390747,0.000127107530715875
"(E,E)-2,4-Dodecadienal",21662-16-8,CCCCCCCC=CC=CC=O,Aldehydes,6.88974189758301,0.000128901534480974
(+/-)2-Mercapto-2-methyl-1-pentanol,258823-39-1,CCCC(C)(CO)S,Sulfur compounds,6.83876466751099,0.000144955716677941
Isopentyl methyl disulfide,72437-56-0,CC(C)CCSSC,Sulfur compounds,6.83706617355347,0.000145523736136966
3-Nonen-2-one,14309-57-0,CCCCCC=CC(=O)C,Ketones,6.82928228378296,0.000148155479109846
3-Mercaptohexanal,51755-72-7,CCCC(CC=O)S,Sulfur compounds,6.81447458267212,0.000153294095071033
Diethyl trisulfide,3600-24-6,CCSSSCC,Sulfur compounds,6.79121208190918,0.000161729010869749
Ethyl 2-methyl-3-pentenoate,1617-23-8,CCOC(=O)C(C)C=CC,Esters,6.74965047836304,0.000177971116499975
"2,4,5-Trithiaoctane",911212-28-7,CCCSSCSC,Sulfur compounds,6.74100828170776,0.000181548108230345
