Compound_Name,CAS_Number,SMILES,Dataset_Role,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR
Hydrogen cyanide,74-90-8,C#N,Benchmark,6.5,6.5,3.5,3.5,0.369797018,1,27.026,26.018,27.01089903,10,0.046163383,-0.201967245,0.201967245,0.046163383,1.5,1.5,1.5,14.16196892,11.85603108,0.512627946,-0.668431808,0.585779028,-0.568999028,4.032459046,1.580540954,1,3,6.754887502,2,1.024563865,1.024563865,1,0.25819889,0.25819889,0,0,0,0,0,0,-0.51,2,1.49,0.49,-4.470784314,13.13183071,0,0,0,0,0,0,0,5.261891555,0,0,0,0,6.57213689,0,0,0,5.261891555,0,0,0,0,0,6.57213689,0,0,0,0,0,0,11.83402844,0,0,0,0,23.79,0,0,0,0,0,0,0,0,6.57213689,5.261891555,0,0,0,6.5,0,0,0,0,3.5,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.13978,6.67
Tetrachloroethene,127-18-4,C(=C(Cl)Cl)(Cl)Cl,Benchmark,4.99382716,4.99382716,0.098765432,-0.098765432,0.517976402,8,165.834,165.834,163.8754107,36,0.136441793,-0.068220897,0.136441793,0.068220897,0.666666667,0.833333333,0.833333333,35.5437959,11.22151756,1.875927939,-1.754816994,2.195521962,-1.474710379,6.672996404,2.25152185,1.360964047,3.675948765,55.61727061,5.154700538,2.511857892,5.535573676,2.64273441,1.005928946,2.517786838,0.520821616,2.419607705,0.142857143,1.285714286,0,0,0.9,13.60964047,6.9,2.975404327,3.104081633,55.62765502,0,8.982936348,0,0,0,0,0,0,0,0,46.40375956,0,0,0,0,46.40375956,0,0,0,0,0,8.982936348,0,0,0,0,46.40375956,0,0,0,0,8.982936348,0,0,0,0,0,8.982936348,0,0,0,0,0,0,46.40375956,-0.197530864,19.97530864,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3.0682,30.438
Trichloroethene,79-01-6,C(=C(Cl)Cl)Cl,Benchmark,4.956790123,4.956790123,0.089506173,0.089506173,0.473775059,7,131.389,130.381,129.9143831,30,0.117603187,-0.090359084,0.117603187,0.090359084,1.4,1.6,1.6,35.53934101,11.24175916,1.701334818,-1.639883105,2.054266229,-1.333974586,6.578145153,2.362563119,1.378783493,3.143197306,42.85475297,4.28445705,2.211243688,4.479030526,2.27005561,0.884857498,2.077222224,0.398755407,1.624837649,0.08247861,0.742307489,0,0,0.61,9.651484454,5.61,2.82691974,4.61,45.32438879,0,4.491468174,0,0,0,0,0,0,0,0,34.80281967,0,5.535201929,0,0,34.80281967,0,0,0,0,0,10.0266701,0,0,0,0,34.80281967,0,0,0,0,10.0266701,0,0,0,0,0,4.491468174,0,5.535201929,0,0,0,0,34.80281967,0.089506173,14.82407407,0,0,1.086419753,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.5017,25.642
"1,1-Dichloroethene",156-60-5,C(=CCl)Cl,Benchmark,4.87345679,4.87345679,1.237654321,1.237654321,0.432798364,9.5,96.944,94.928,95.95335542,24,0.015563326,-0.092004176,0.092004176,0.015563326,1,1.25,1.25,35.49798623,11.26263538,1.396350184,-1.435136854,1.781028365,-1.10764253,6.32910709,2.50749317,1.370950594,2.549193338,19.21928095,3.414213562,1.910629484,3.422487376,1.914213562,0.769769114,1.642640675,0.251976315,0.755928946,0.047619048,0.428571429,0,0,0.32,6.854752972,4.32,3.32,2.32,35.02112256,0,0,0,0,0,0,0,0,0,0,23.20187978,0,11.07040386,0,0,23.20187978,0,0,0,0,0,11.07040386,0,0,0,0,23.20187978,0,0,0,0,11.07040386,0,0,0,0,0,0,0,0,11.07040386,0,0,0,23.20187978,0,9.74691358,0,0,2.475308642,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.9352,20.846
Tribromomethane,75-25-2,C(Br)(Br)Br,Benchmark,3.104166667,3.104166667,0.270833333,0.270833333,0.58127781,9,252.731,251.723,249.7628363,26,0.124221039,-0.063716905,0.124221039,0.063716905,1,1,1,79.95015716,11.96684284,1.765796166,-1.703292032,2.131510844,-1.489010844,9.380183235,2.279816765,0.811278124,2.323790008,8,3.577350269,1.711243688,6.469233306,1.732050808,0.654653671,3.401680257,0.24743583,6.680767401,0,0,0,0,1.44,3.245112498,5.44,2.665225225,9.876728395,50.34189384,0,2.645710119,0,0,0,0,0,0,0,0,47.78983169,0,0,0,0,47.78983169,0,0,0,2.645710119,0,0,0,0,0,0,47.78983169,2.645710119,0,0,0,0,0,0,0,0,0,2.645710119,0,0,0,0,0,47.78983169,0,0.270833333,9.3125,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.4547,30.569
Dibromoiodomethane,593-94-2,C(Br)(Br)I,Benchmark,3.174166667,3.174166667,0.428333333,0.428333333,0.476156854,9,299.731,298.723,297.7489722,26,0.120665208,-0.064713736,0.120665208,0.064713736,1.5,1.5,1.5,126.9127071,11.97285851,1.764641958,-1.704185755,2.140330912,-1.484335572,14.11102803,2.341759296,0.811278124,2.323790008,10.7548875,3.577350269,1.711243688,7.040735058,1.732050808,0.654653671,3.731636947,0.24743583,7.976811552,0,0,0,0,1.69,3.245112498,5.69,2.903219616,9.348835475,55.73618436,0,1.743172874,0,0,0,0,0,0,0,0,54.45075842,0,0,0,0,54.45075842,0,0,0,1.743172874,0,0,0,0,0,0,54.45075842,1.743172874,0,0,0,0,0,0,0,0,0,0,1.743172874,0,0,0,0,54.45075842,0,0.428333333,8.525,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.4948,35.662
Bromodiiodomethane,557-95-9,C(Br)(I)I,Benchmark,3.244166667,3.244166667,0.585833333,0.585833333,0.466969095,9,346.731,345.723,345.7351081,26,0.117112608,-0.065709153,0.117112608,0.065709153,1.5,1.5,1.5,126.9224087,11.97887594,1.763489138,-1.705078421,2.14898864,-1.479629433,14.1984087,2.405529009,0.811278124,2.323790008,10.7548875,3.577350269,1.711243688,7.61223681,1.732050808,0.654653671,4.061593638,0.24743583,9.46142653,0,0,0,0,1.94,3.245112498,5.94,3.14242915,9.048725688,61.13047488,0,0.840635629,0,0,0,0,0,0,0,0,61.11168515,0,0,0,0,61.11168515,0,0,0,0.840635629,0,0,0,0,0,0,61.11168515,0.840635629,0,0,0,0,0,0,0,0,0,0,0.840635629,0,0,0,0,61.11168515,0,0.585833333,7.7375,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2.5349,40.755
"1,2-Dichlorooxoethane",79-04-9,C(C(=O)Cl)Cl,Benchmark,9.445987654,9.445987654,0.095679012,-0.507716049,0.36566659,7.6,112.943,110.927,111.94827,30,0.235925632,-0.279958086,0.279958086,0.235925632,1.8,2,2,35.49858691,10.92002429,1.83012855,-1.654291703,1.797552246,-1.808658112,6.673737741,-0.109084746,1.378783493,2.847378923,42.91260938,4.28445705,2.371284018,3.88314191,2.27005561,1.013921014,1.926407971,0.488750484,1.177576318,0.1050621,0.618232063,0,0,0.25,9.651484454,5.25,2.485294118,4.25,39.8722477,0,0,0,5.242426768,0,0,4.794537184,0,0,11.60093989,0,11.60093989,0,5.880003445,4.794537184,28.44430655,0,0,0,0,5.880003445,0,0,0,0,0,23.20187978,11.12243021,4.794537184,0,0,0,0,0,17.07,5.242426768,4.794537184,5.880003445,0,0,0,0,0,0,23.20187978,0,9.546296296,9.445987654,-0.507716049,0,-0.095679012,0,0,0,0,0.5,5,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0.9906,21.58
Hexachloroethane,67-72-1,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,Benchmark,5.144290123,5.144290123,1.849537037,-1.849537037,0.562581613,14.25,236.74,236.74,233.8131161,50,0.236391438,-0.078797146,0.236391438,0.078797146,0.5,0.625,0.625,35.59112605,10.88910869,2.434713325,-2.185477928,2.479209452,-2.23071812,6.828470317,1.100837767,1.253297578,4.020391543,61.509775,7,3.267786838,7.803360514,3.25,1.383893419,3.651680257,0.995518138,5.557982986,0.321428571,2.892857143,0,0,1.74,21.30605883,9.74,2.773447112,3.04826129,76.9237905,0,0,0,7.585071871,0,0,0,0,0,0,69.60563934,0,0,0,0,69.60563934,0,0,0,7.585071871,0,0,0,0,0,0,69.60563934,7.585071871,0,0,0,0,0,0,0,7.585071871,0,0,0,0,0,0,0,0,69.60563934,-3.699074074,30.86574074,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3.7268,40.58
"1,5-Pentanedial",111-30-8,C(CC=O)CC=O,Benchmark,9.56375,9.56375,0.512638889,0.512638889,0.381710195,8,100.117,92.053,100.0524295,40,0.119503548,-0.303402688,0.303402688,0.119503548,1,1.428571429,1.714285714,16.13074052,10.26463462,1.795170095,-1.782243241,1.851915143,-1.759368829,5.524471199,-0.108403201,1.690933806,2.679549207,51.10049401,5.535533906,4.092517463,4.092517463,3.414213562,2.287901102,2.287901102,1.264236993,1.264236993,0.643950551,0.643950551,0.284517797,0.284517797,-0.66,35.50960993,6.34,5.34,5.34,42.52206369,9.589074368,12.57232105,0,0,0,0,0,0,0,0,0,6.420821623,12.84164325,0,9.589074368,12.57232105,0,0,0,19.26246487,0,0,0,0,0,0,0,12.57232105,9.589074368,0,19.26246487,0,0,0,34.14,0,9.589074368,0,19.26246487,12.57232105,0,0,0,0,0,0,0,19.1275,0,0,0,0,3.3725,0,0,0.6,7,0,2,0,0,0,0,0,0,2,0,2,4,0,0,0,0,0.5545,25.979
